customer_id,customer_name,cust_first_inv_date,ar_pct_curr,delivery_count,net_sales_amt,cust_mar_qual
100000601,CAPTAIN'S QUARTERS,2024-02-26,0.997,64,414697.71,0.118
100002985,HOGFISH BAR & GRILL,2023-05-01,0.877,55,257979.6,0.227
100003980,Orlando Banquets,2006-04-27,0.99,29,57255.51,0.189
100004907,SCHOONER WHARF BAR,2022-06-24,0.813,29,54055.81,0.223
100006632,TIME FOR DINNER,2006-01-03,0.989,30,35336.6,0.25
100008016,MAXINES BISTRO,2007-01-03,0.741,35,110903.48,0.199
100009049,HOME PLATE RESTAURANT,2006-08-01,0.867,37,103169.6,0.298
100009280,TWO MIKES CATERING,2006-09-01,0.996,31,68741.83,0.283
100011508,JOSEPH'S CLASSIC MARKET,2007-03-02,0.835,61,211841.35,0.115
100011593,DAILY CREATIVE FOOD CO (THE)  001,2011-11-29,-1.718,52,179104.05,0.137
100011609,EXQUISITE CATERING BY ROBERT,2007-03-08,2.087,59,210032.15,0.121
100011611,KENRICK'S MEATS & CATERING,2007-02-27,0.966,36,121662.74,0.106
100012199,OLD TOWN MEXICAN CAFE,2007-12-08,0.891,33,58722.75,0.158
100014551,MAMMY'S KITCHEN LLC,2007-08-10,0.979,41,256225.14,0.295
100017919,AMWAY - NON FOOD PURCHASING,2023-11-01,0.996,36,77782.14,0.211
100018930,OMELETTE SHOPPE - MICHIGAN STREET,2010-12-15,0.969,28,60497.85,0.106
100019704,VILLAGE HIDE-A-WAY,2023-08-22,0.943,35,100365.28,0.2
100019925,CHILLERS MICROCREAMERY - SELLERSBURG,2008-03-07,0.997,28,77202.3,0.123
100020509,WEST MICHIGAN WHITECAPS SUITES,2024-02-19,0.977,34,45645.28,0.211
100020661,BLU MOON (THE),2008-03-24,0.886,35,64001.62,0.234
100021025,Heritage Palms Golf & Country Club 26057,2012-12-13,0.94,68,108609.03,0.134
100021094,JT'S SPORTS BAR & GRILL,2008-04-02,0.786,32,47626.73,0.192
100021180,STOOGES BAR & GRILL,2020-06-09,0.519,29,63921.2,0.149
100021188,ZESTO,2024-02-26,0.992,33,97859.49,0.115
100021677,DOUGLAS LAKE BAR & STEAKHOUSE,2017-10-19,0.963,36,202678.25,0.085
100021941,KROME EXXON,2008-04-01,0.935,30,249625.16,0.2
100021983,GREAT TURTLE BREWERY,2024-02-21,0.942,72,382246.7,0.198
100022139,MH AMIGO BURRITO/MURRAY HOTEL,2024-04-23,0.926,46,5743.14,0.313
100022225,BUNZEL'S,2008-04-04,0.946,40,133878.02,0.241
100023128,DETROIT GOLF CLUB,2015-04-10,0.773,33,210573.3,0.219
100023532,SOUTH LYON HOTEL,2008-08-29,0.686,34,38142.36,0.228
100023758,GOLDIE'S RESTAURANT,2008-06-02,0.864,30,54179.1,0.209
100023816,EXQUISITE CATERING BY ROBERT / SUMMER,2023-05-09,0.994,52,53591.9,-0.61
100023824,JOHNNY PAMCAKES,2008-05-23,1.042,37,75866.04,0.062
100023950,Sake Blue,2008-06-25,0.986,40,180671.73,0.166
100024846,ROSEN SHINGLE CREEK,2009-07-08,0.935,74,222841.54,0.187
100027121,VENEZIA PIZZA & CAFE,2008-08-30,0.66,28,33661.38,0.152
100027202,BEAR LAKE INN,2020-08-10,0.977,36,54833.53,0.321
100028032,CATERING BY MARTHAS,2020-09-08,0.809,67,144563.8,0.191
100028444,CARPACCIO,2021-07-07,0.948,40,109438.21,0.256
100029227,HOCKING COLLEGE DINING SERVICE,2024-02-26,0.948,37,216664.29,0.321
100029938,Westsider Cafe,2011-08-30,0.855,36,50243.71,0.269
100030404,MCHUGH'S DOUBLE DRIVE-THRU,2022-11-18,1,31,190642.78,0.17
100031061,Beer Barrel 2- Market St,2024-02-27,0.988,28,242687.74,0.134
100031908,THIRSTY PONY,2009-05-06,0.984,30,177581.25,0.349
100033574,SCOOPS II,2024-03-27,0.957,36,55198.09,0.27
100034436,DOCK'S BEACH HOUSE,2010-05-21,0.977,33,101941.2,0.256
100034852,Wicks Bar and Grille,2010-03-03,0.968,42,131991.96,0.22
100035235,Shenandoah Country Club,2024-01-12,0.814,40,197824.73,0.262
100035260,BROOKLYN PIZZA,2009-05-14,0.957,30,55301.14,0.262
100035370,TAMARACK,2009-05-07,0.788,48,55591.87,0.224
100036110,FRANKENMUTH BREWING COMPANY,2009-06-05,1,32,84166.23,0.239
100036162,KELLEY'S ISLAND WINE CO,2019-09-19,0.848,49,88066.66,0.338
100036614,CRYSTAL MOUNTAIN-OUTSIDE FREEZER,2009-12-14,1,31,17562.18,0.223
